"Name","Type","QC.matrix.1","QC.matrix.2","Species","isotope.expected","isotope.precision","Method","Facility","Normalization","Slope","slope.confi95","Intercept","intercept.confi95","isotope.max","isotope.min","isotope.range","standards","isotope.norm","isotope.SE","isotope.confi95","one.point.mean","isotope.deviation","deviation_significant","SRM.matrix.1","SRM.matrix.2","Matrix.1","Matrix.2","Extrapolation"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",114,1.00383684795265,0.0164697453579634,0.0416113569873454,0.460410450074391,-18.13,-35.27,17.14,"USGS91_USGS61_IAEA600_USGS89",-27.8721700782867,0.10318509679049,0.221310021987754,NA,-0.142170078286668,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",115,0.99313380329205,0.0144789095777599,-0.244701571941747,0.395370785521241,-16.26,-35.27,19.01,"USGS91_USGS61_USGS40_USGS88",-27.8842572232079,0.103903174829514,0.222850146206737,NA,-0.154257223207875,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",116,1.00311206314222,0.0145075939468726,0.0595340024721014,0.400826593958583,-18.13,-35.27,17.14,"USGS91_USGS61_USGS40_USGS89",-27.9101757731556,0.0911579615630604,0.195514382458175,NA,-0.180175773155586,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",117,0.994286031486814,0.013033316538552,-0.209306552351472,0.333235257670174,-16.26,-35.27,19.01,"USGS91_USGS61_USGS88_USGS89",-27.8875419844579,0.107430231517354,0.230414930438348,NA,-0.157541984457865,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",118,0.987310854216093,0.0077921140611904,-0.36073297829029,0.185483099955169,-1.42,-28.11,26.69,"USGS91_USGS63_IAEA600_USGS40",-27.9311899630691,0.0973707622889404,0.208839514749728,NA,-0.201189963069101,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",119,0.986508310207783,0.00826336938081218,-0.3882828400955,0.176650844519523,-1.42,-28.11,26.69,"USGS91_USGS63_IAEA600_USGS88",-27.9259858987928,0.103416685450836,0.221806730263537,NA,-0.195985898792841,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",120,0.986965510956182,0.00826716288458795,-0.347906842472498,0.180120644154829,-1.42,-28.11,26.69,"USGS91_USGS63_IAEA600_USGS89",-27.9539587262765,0.102169716887314,0.219132248688242,NA,-0.223958726276507,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",121,0.982803691798726,0.00593458739485875,-0.411603639917905,0.124325108868411,-1.42,-28.11,26.69,"USGS91_USGS63_USGS40_USGS88",-28.0075223463032,0.0733896905123459,0.157405231241287,NA,-0.27752234630319,TRUE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",122,0.9833477804831,0.00531047887361091,-0.371691169416286,0.113470914067443,-1.42,-28.11,26.69,"USGS91_USGS63_USGS40_USGS89",-28.0326140737727,0.0648809372409854,0.139155770494096,NA,-0.302614073772716,TRUE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",123,0.980041262098406,0.00580236211794738,-0.426918520014364,0.108076210163596,-1.42,-28.11,26.69,"USGS91_USGS63_USGS88_USGS89",-28.0708400185943,0.068563725266639,0.147054565225941,NA,-0.340840018594346,TRUE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",124,0.979210543246936,0.0173117879748297,-0.58110747797669,0.434786769878696,-16.26,-28.11,11.85,"USGS91_IAEA600_USGS40_USGS88",-27.9371915577145,0.0959087701718373,0.205703853519125,NA,-0.207191557714488,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",125,0.990489363212394,0.0217935875219786,-0.269651079064511,0.5549710745786,-18.13,-28.11,9.98,"USGS91_IAEA600_USGS40_USGS89",-27.933514430889,0.0983628656206409,0.210967364768598,NA,-0.203514430889019,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",126,0.98310134699617,0.0166409935652558,-0.457314625236365,0.386283649012827,-16.26,-28.11,11.85,"USGS91_IAEA600_USGS88_USGS89",-27.9525457458972,0.106131378635571,0.227629168067937,NA,-0.222545745897225,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",127,0.973588767314942,0.0106555233085968,-0.624225534098576,0.243147449892031,-16.26,-28.11,11.85,"USGS91_USGS40_USGS88_USGS89",-28.0542210251959,0.0665488618841159,0.142733113065132,NA,-0.324221025195925,TRUE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",128,1.00073136031471,0.0121981028903545,-0.0745433258867285,0.285282230017118,-1.42,-35.27,33.85,"USGS90_USGS61_USGS63_IAEA600",-27.8425937060181,0.172291125089961,0.36952771153933,NA,-0.11259370601806,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",129,0.998792145287428,0.0119775707141743,-0.0730579464630032,0.275442852791584,-1.42,-35.27,33.85,"USGS90_USGS61_USGS63_USGS40",-27.8981389521423,0.167705145290934,0.359691763115316,NA,-0.168138952142339,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",130,0.998463291806482,0.013242492341209,-0.120992210504495,0.271136392614502,-1.42,-35.27,33.85,"USGS90_USGS61_USGS63_USGS88",-27.8593194339355,0.181601719473635,0.389496950430037,NA,-0.129319433935464,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",131,0.998666142890439,0.012755851456382,-0.0795839172902763,0.26662710828549,-1.42,-35.27,33.85,"USGS90_USGS61_USGS63_USGS89",-27.8951241924359,0.173977379078178,0.373144366645705,NA,-0.165124192435897,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",132,1.02829015954457,0.00683670305981798,0.711030805081715,0.183541922757274,-13.34,-35.27,21.93,"USGS90_USGS61_IAEA600_USGS40",-27.8603568644187,0.0535179926599473,0.114784678221138,NA,-0.130356864418722,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",133,1.01653829883175,0.0139164384786918,0.320320272208038,0.344023359442041,-13.34,-35.27,21.93,"USGS90_USGS61_IAEA600_USGS88",-27.7980871991572,0.127362466618106,0.27316532294289,NA,-0.0680871991572118,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",134,1.02252596370806,0.0102413622753459,0.509326931151331,0.25681197648362,-13.34,-35.27,21.93,"USGS90_USGS61_IAEA600_USGS89",-27.8201512145398,0.0887414759449024,0.190331536272805,NA,-0.090151214539766,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",135,1.01458165015287,0.0138932249853843,0.308893894112437,0.338316481623392,-13.34,-35.27,21.93,"USGS90_USGS61_USGS40_USGS88",-27.8404344193061,0.125782634911476,0.269776920929358,NA,-0.110434419306085,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",136,1.02062244104807,0.00961881362365924,0.496121549651582,0.23769828428577,-13.34,-35.27,21.93,"USGS90_USGS61_USGS40_USGS89",-27.85909892443,0.082492081268269,0.176927917762817,NA,-0.129098924430046,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",137,1.01389516433433,0.0146095049341016,0.257664922026439,0.327020111024514,-13.34,-35.27,21.93,"USGS90_USGS61_USGS88_USGS89",-27.8087576643469,0.134835043195073,0.289192405709614,NA,-0.078757664346881,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",138,0.996763150978272,0.01434438494971,-0.11211801411503,0.291848876477298,-1.42,-27.97,26.55,"USGS90_USGS63_IAEA600_USGS40",-27.9157410249123,0.176732288023566,0.3790530586782,NA,-0.185741024912275,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",139,0.996593127303597,0.0170779535852189,-0.151879374001456,0.29792438633981,-1.42,-27.97,26.55,"USGS90_USGS63_IAEA600_USGS88",-27.8806063023692,0.198752751581699,0.426282255779462,NA,-0.150606302369241,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",140,0.996184632447726,0.0162825815134013,-0.121099509956818,0.292189688976893,-1.42,-27.97,26.55,"USGS90_USGS63_IAEA600_USGS89",-27.9229367569097,0.18939768711508,0.406217638046846,NA,-0.192936756909706,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",141,0.989997585087801,0.0166634360700134,-0.206584635878217,0.281901201857759,-1.42,-26.46,25.04,"USGS90_USGS63_USGS40_USGS88",-28.0110939479336,0.190504992080225,0.408592570995553,NA,-0.281093947933602,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Extrapolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",142,0.989853723644374,0.0153327038571764,-0.175148666644604,0.26728649968189,-1.42,-26.46,25.04,"USGS90_USGS63_USGS40_USGS89",-28.04692316673,0.17531233498748,0.376007562308933,NA,-0.316923166730042,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Extrapolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",143,0.982931741180373,0.022026691119729,-0.279555547657966,0.307004173480281,-1.42,-18.3,16.88,"USGS90_USGS63_USGS88_USGS89",-28.1382147850149,0.226316985688057,0.485401658153428,NA,-0.408214785014909,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Extrapolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",144,1.02140904551008,0.0193065751841934,0.419215297415316,0.422144690105375,-13.34,-27.97,14.63,"USGS90_IAEA600_USGS40_USGS88",-27.762349885255,0.135129812806027,0.289824623647192,NA,-0.0323498852550408,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",145,1.03120592436211,0.0128833540168805,0.679677373785259,0.28686404240306,-13.34,-27.97,14.63,"USGS90_IAEA600_USGS40_USGS89",-27.7511762662609,0.083758769222141,0.179644693224027,NA,-0.0211762662608663,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",146,1.02679566287453,0.0218958312097302,0.470031952428958,0.430273404685527,-13.34,-27.97,14.63,"USGS90_IAEA600_USGS88_USGS89",-27.6661978420337,0.14679024801311,0.31483376985467,NA,0.0638021579662791,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",147,1.01753005063114,0.0257075094111158,0.327627165853075,0.493174816341196,-13.34,-26.46,13.12,"USGS90_USGS40_USGS88_USGS89",-27.7781743628321,0.165818967979226,0.355646315126112,NA,-0.0481743628321141,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Extrapolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",148,0.994291142912765,0.00362234438045705,-0.324559537315201,0.0940285597786268,-1.42,-35.27,33.85,"USGS61_USGS63_IAEA600_USGS40",-27.7714838953438,0.0493928420805939,0.105937110172884,NA,-0.0414838953437666,FALSE,"Compound","High Organic",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",149,0.995459858082118,0.0019135776537833,-0.332064188712424,0.0454524835813329,-1.42,-35.27,33.85,"USGS61_USGS63_IAEA600_USGS88",-27.7313400305995,0.0265901916825156,0.0570302891498421,NA,-0.00134003059953614,FALSE,"Mixed","High Organic",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",150,0.995923136573059,0.00410783686191751,-0.286157237520819,0.0990900425250584,-1.42,-35.27,33.85,"USGS61_USGS63_IAEA600_USGS89",-27.764534979704,0.0562827431908513,0.120714478355234,NA,-0.034534979703956,FALSE,"Mixed","High Organic",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",151,0.993757033869918,0.00350006354903187,-0.32528353636339,0.0817889870680091,-1.42,-35.27,33.85,"USGS61_USGS63_USGS40_USGS88",-27.7856815323443,0.0482169227622123,0.103415014072754,NA,-0.0556815323442912,FALSE,"Mixed","High Organic","Mixed / Compound","Matched","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",152,0.994257021239845,0.00451673197108837,-0.279672026273726,0.107242674366139,-1.42,-35.27,33.85,"USGS61_USGS63_USGS40_USGS89",-27.8175837664559,0.0613816722837513,0.131650593596323,NA,-0.0875837664558574,FALSE,"Mixed","High Organic","Mixed / Compound","Matched","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",153,0.995281286882969,0.0042399091254729,-0.292436147642547,0.0903531473977778,-1.42,-35.27,33.85,"USGS61_USGS63_USGS88_USGS89",-27.7761314481623,0.0570454965658056,0.122350421640001,NA,-0.046131448162285,FALSE,"Mixed","High Organic","Mixed / Compound","Matched","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",154,0.997203094735394,0.00610158229464597,-0.242954585248629,0.16575122938239,-16.26,-35.27,19.01,"USGS61_IAEA600_USGS40_USGS88",-27.7722216877998,0.0434047828220757,0.0930940003887514,NA,-0.0422216877997919,FALSE,"Mixed","High Organic",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",155,1.00672674143346,0.00609229728869476,0.0498198389526332,0.167471268655179,-18.13,-35.27,17.14,"USGS61_IAEA600_USGS40_USGS89",-27.8003143128014,0.037989070033974,0.0814784516952446,NA,-0.0703143128014254,FALSE,"Mixed","High Organic",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",156,1.00121800702094,0.00524720690025515,-0.146722464794826,0.133367750548003,-16.26,-35.27,19.01,"USGS61_IAEA600_USGS88_USGS89",-27.7569693516548,0.0426008413461943,0.0913697174134159,NA,-0.0269693516548024,FALSE,"Mixed","High Organic",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",157,0.999367345319482,0.00631994002827507,-0.152625191774484,0.158363217453982,-16.26,-35.27,19.01,"USGS61_USGS40_USGS88_USGS89",-27.8024641673109,0.0507943072328041,0.108942953974925,NA,-0.0724641673108977,FALSE,"Mixed","High Organic","Mixed / Compound","Matched","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",158,0.992072598543881,0.00381217301443004,-0.350155023473531,0.0791583177085076,-1.42,-27.97,26.55,"USGS63_IAEA600_USGS40_USGS88",-27.8077884794096,0.0461796395341584,0.0990454761257058,NA,-0.0777884794096018,FALSE,"Mixed","High Organic",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",159,0.992198433009912,0.00499047597823976,-0.313197762103068,0.105730120749781,-1.42,-27.97,26.55,"USGS63_IAEA600_USGS40_USGS89",-27.8415096404622,0.0597780267135232,0.12821111592516,NA,-0.111509640462177,FALSE,"Mixed","High Organic",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",160,0.993844206775762,0.00523549894420983,-0.312717248629296,0.0964292460491827,-1.42,-27.97,26.55,"USGS63_IAEA600_USGS88_USGS89",-27.7958884934202,0.0600066697297122,0.128701506422567,NA,-0.0658884934201716,FALSE,"Mixed","High Organic",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",161,0.988180018699654,0.00415739912898561,-0.359345961324094,0.0744981534754766,-1.42,-26.46,25.04,"USGS63_USGS40_USGS88_USGS89",-27.9080263887201,0.0468093627751012,0.100396098149952,NA,-0.178026388720138,TRUE,"Mixed","High Organic","Mixed / Compound","Matched","Extrapolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",162,0.996769515975805,0.00972806359230971,-0.215071011044165,0.220336103777317,-16.26,-27.97,11.71,"IAEA600_USGS40_USGS88_USGS89",-27.8122761025817,0.057704562309193,0.123763977072881,NA,-0.0822761025817194,FALSE,"Mixed","High Organic",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"one.point","U.S. EPA",1,1,NA,-0.217500000000001,0.0940258953653175,-27.98,-28.11,0.129999999999999,"USGS91",-28.155,0.0590903263374528,0.0940258953653175,-28.28,-0.425000000000001,TRUE,"Plant","Plant","Plant / Compound","Plant / High Organic","Extrapolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"one.point","U.S. EPA",2,1,NA,-0.375,0.0558819205991914,-13.34,-13.41,0.0700000000000003,"USGS90",-28.3125,0.0351188458428427,0.0558819205991914,-13.75,-0.5825,TRUE,"Plant","Plant","Plant / Compound","Plant / High Organic","Extrapolated"
